Row Labels,Sum of Total_Exemptions,Sum of Total_Assessment
Non Residential Exemption,9334760900,9334760900
Brown University,1599871900,1599871900
(blank),1066219200,1066219200
RI HOSPITAL,749841200,749841200
Providence Place Group LP,698109800,698109800
City of Providence,692408000,692408000
Providence Public Buildings Authority,428941100,428941100
State Of Rhode Island,372583000,372583000
Providence College,342594300,342594300
United States of America,294097000,294097000
Dominion Energy Manchester Street Inc,274402900,274402900
JOHNSON AND WALES UNIVERSITY,176115000,176115000
Butler Hospital,167469800,167469800
JOHNSON & WALES,165174400,165174400
Miriam Hospital,155158700,155158700
Convention Center Authority,142962400,142962400
Housing Authority Of The,137256600,137256600
State Of RI Department Of Adminstration,124967800,124967800
Women And Infants Hospital Of Ri,89602400,89602400
RI Educ Bldg Corp,80441700,80441700
State Of Rhode Island & Prov Plantations,77486600,77486600
" Swan Point Cemetary, Proprietors of",68136500,68136500
Lasalle Academy,56439100,56439100
RI Convention Center Authority,53207300,53207300
Providence Redevelopment Agency,49198700,49198700
NE Yearly Meeting Of Friends,44405400,44405400
RI Health And Educational Bldg Corp,41600200,41600200
Fairfield University Height,34609900,34609900
Providence Public Library,34017900,34017900
Housing Authority,32819800,32819800
United States Postal Service,31805000,31805000
National Railroad Passenger Corp Amtrak,29043300,29043300
Provport Inc,28403500,28403500
Johnson & Wales University,20652100,20652100
MEETING STREET CENTER,20175200,20175200
Times 2 Incorporated,19976200,19976200
Providence Center Inc,19888600,19888600
Roman Catholic Bishop of Providence,19394000,19394000
Brown Univerisity,17556600,17556600
RI Public Transit Authority,16654200,16654200
RI School of Design,16277200,16277200
Women And Infants Hospital,15762400,15762400
Narragansett Bay Water Quality Mgt Dist Com,15220300,15220300
Providence Public Bldg Authority,15030500,15030500
Rhode Island Hospital,14889400,14889400
Congregation Of Sons Of Israel And David,14475300,14475300
Women & Infants Hospital Of RI,14028300,14028300
Board Of Regents For Elementary & Secondary Ed,11679400,11679400
Childrens Friend and Service,11661200,11661200
Trustees Of Trinity Union Church,11587000,11587000
Providence Boys Club,11091600,11091600
Alliance Realty Inc,11085000,11085000
Central Congregational Church,10340400,10340400
Providence Performing Arts Center K/n/a,10086700,10086700
St Peters And Paul Church,10030200,10030200
Providence Community Health Centers Inc,9774700,9774700
First Unitarian Church Of Providence,9624600,9624600
Steere House,9619300,9619300
St Augustines Church,9430500,9430500
Temple Emanuel,8661300,8661300
Rhode Island Community Food Bank,8657200,8657200
Salvation Army Of RI,8647600,8647600
St Stephens Church,8598200,8598200
Church Of The Holy Name Of Jesus,8212900,8212900
Diocese of RI,7618400,7618400
St Bartholomews Church Corp,7322800,7322800
Church Of Our Lady Of The Rosary,7095100,7095100
RI Historical Society,6996500,6996500
Fund for UCAP Realty Company,6823600,6823600
Brown RISD Hillel Foundation,6802800,6802800
Epoch Sl I Inc,6613700,6613700
Church of the Blessed Sacrement,6579100,6579100
St Pauls Evangelical Lutheran Church Of Uac,6567900,6567900
American Mathematical Society,6427500,6427500
Women And Infants Corporation,6348200,6348200
Charitable Baptist Society,6167200,6167200
Foundation For Repertory Theatre Of Ri Inc,6153300,6153300
Paul Cuffee School,6072600,6072600
Home & Hospice Care of RI,6037900,6037900
RI Housing & Mortgage Finance Corp,6012500,6012500
URBAN LEAGUE OF RHODE ISLAND INC,5997400,5997400
RHODE ISLAND BLOOD CENTER,5873000,5873000
Highlander Charter School,5864800,5864800
St Charles Borromeo Church,5843400,5843400
I-195 REDEVELOPMENT DISTRICT,5817400,5817400
Narragansett Bay Commission,5656100,5656100
St Josephs Church,5567500,5567500
56 Assoc,5330800,5330800
St Michaels Church,5311800,5311800
Grace Church Of Providence RI,5300100,5300100
